archivo,bks
coord20-5-1.dat,54793
coord20-5-1b.dat,75727
coord20-5-2.dat,80538
coord20-5-2b.dat,62987
coord50-5-1.dat,157632
coord50-5-1b.dat,142359
coord50-5-2.dat,152376
coord50-5-2b.dat,119925
coord50-5-2BIS.dat,177649
coord50-5-2bBIS.dat,102824
coord50-5-3.dat,162640
coord50-5-3b.dat,114931
coord100-5-1.dat,364324
coord100-5-1b.dat,239235
coord100-5-2.dat,287093
coord100-5-2b.dat,174963
coord100-5-3.dat,238031
coord100-5-3b.dat,181334
coord100-10-1.dat,281896
coord100-10-1b.dat,224751
coord100-10-2.dat,282437
coord100-10-2b.dat,179047
coord100-10-3.dat,272463
coord100-10-3b.dat,208890
coord200-10-1.dat,464596
coord200-10-1b.dat,401901
coord200-10-2.dat,410514
coord200-10-2b.dat,324121
coord200-10-3.dat,574398
coord200-10-3b.dat,356618
