instancia,n,m,bks,alns_costo,alns_gap_pct,alns_cpu_seg,alns_nb_dep,alns_nb_veh,alns_val_ok,mapm_costo,mapm_gap_pct,mapm_cpu_seg,mapm_nb_dep,mapm_nb_veh,mapm_val_ok,mejor
coord10-2-1.dat,10,2,-1.00,11576.00,-1.00,0.03,2,4,1,11576.00,-1.00,0.51,2,4,1,empate
coord10-2-2.dat,10,2,-1.00,15912.00,-1.00,0.02,2,3,1,15912.00,-1.00,0.08,2,3,1,empate
coord100-10-1.dat,100,10,281896.00,333496.00,18.30,1.90,4,25,1,523185.00,85.60,162.20,8,25,1,ALNS
coord100-10-1b.dat,100,10,224751.00,286981.00,27.69,3.18,4,12,1,433500.00,92.88,324.95,7,12,1,ALNS
coord100-10-2.dat,100,10,282437.00,250931.00,-11.16,1.12,3,24,1,345507.00,22.33,102.94,5,24,1,ALNS
coord100-10-2b.dat,100,10,179047.00,228022.00,27.35,2.20,3,11,1,310834.00,73.60,271.10,5,12,1,ALNS
coord100-10-3.dat,100,10,272463.00,302325.00,10.96,0.87,3,25,1,432690.00,58.81,148.92,7,25,1,ALNS
coord100-10-3b.dat,100,10,208890.00,211515.00,1.26,1.55,3,11,1,350803.00,67.94,193.61,6,12,1,ALNS
coord100-5-1.dat,100,5,364324.00,287403.00,-21.11,0.99,3,24,1,323212.00,-11.28,129.20,4,24,1,ALNS
coord100-5-1b.dat,100,5,239235.00,235482.00,-1.57,3.03,3,11,1,224053.00,-6.35,113.90,3,12,1,MAPM
coord100-5-2.dat,100,5,287093.00,195915.00,-31.76,1.04,2,24,1,290391.00,1.15,120.24,4,24,1,ALNS
coord100-5-2b.dat,100,5,174963.00,163442.00,-6.58,1.59,2,11,1,212267.00,21.32,131.46,3,11,1,ALNS
coord100-5-3.dat,100,5,238031.00,284713.00,19.61,1.11,3,24,1,323029.00,35.71,128.82,5,24,1,ALNS
coord100-5-3b.dat,100,5,181334.00,164020.00,-9.55,1.67,2,12,1,241004.00,32.91,172.82,4,11,1,ALNS
coord12-2-1.dat,12,2,-1.00,15123.00,-1.00,0.02,2,4,1,15123.00,-1.00,0.29,2,4,1,empate
coord12-3-1.dat,12,3,-1.00,20326.00,-1.00,0.01,3,6,1,17497.00,-1.00,1.22,3,6,1,MAPM
coord14-2-1.dat,14,2,-1.00,17517.00,-1.00,0.01,2,6,1,17517.00,-1.00,0.25,2,6,1,empate
coord14-3-1.dat,14,3,-1.00,21469.00,-1.00,0.02,3,6,1,20288.00,-1.00,2.66,3,6,1,MAPM
coord15-3-1.dat,15,3,-1.00,26147.00,-1.00,0.04,3,6,1,21139.00,-1.00,2.82,3,6,1,MAPM
coord16-2-1.dat,16,2,-1.00,30324.00,-1.00,0.02,2,6,1,30324.00,-1.00,1.02,2,6,1,empate
coord18-2-1.dat,18,2,-1.00,31907.00,-1.00,0.02,2,6,1,31907.00,-1.00,0.60,2,6,1,empate
coord20-2-1.dat,20,2,-1.00,35035.00,-1.00,0.03,2,6,1,35035.00,-1.00,0.40,2,6,1,empate
coord20-5-1.dat,20,5,54793.00,64760.00,18.19,0.03,3,5,1,54769.00,-0.04,0.28,3,5,1,MAPM
coord20-5-1b.dat,20,5,75727.00,45400.00,-40.05,0.04,2,3,1,44718.00,-40.95,0.49,2,3,1,MAPM
coord20-5-2.dat,20,5,80538.00,60742.00,-24.58,0.04,3,5,1,48885.00,-39.30,0.48,3,5,1,MAPM
coord20-5-2b.dat,20,5,62987.00,41685.00,-33.82,0.04,2,3,1,42518.00,-32.50,0.55,2,3,1,ALNS
coord200-10-1.dat,200,10,464596.00,583032.00,25.49,6.74,3,47,1,1141006.00,145.59,1994.19,10,48,1,ALNS
coord200-10-1b.dat,200,10,401901.00,481544.00,19.82,13.30,3,22,1,660103.00,64.25,2432.92,6,23,1,ALNS
coord200-10-2.dat,200,10,410514.00,586430.00,42.85,6.72,3,47,1,894698.00,117.95,2480.22,7,48,1,ALNS
coord200-10-2b.dat,200,10,324121.00,427986.00,32.05,10.33,3,22,1,718897.00,121.80,1698.77,6,22,1,ALNS
coord200-10-3.dat,200,10,574398.00,547072.00,-4.76,6.17,3,47,1,973530.00,69.49,1061.28,8,46,1,ALNS
coord200-10-3b.dat,200,10,356618.00,424025.00,18.90,10.63,3,22,1,797826.00,123.72,1181.75,7,22,1,ALNS
coord21-2-1.dat,21,2,-1.00,38414.00,-1.00,0.03,2,7,1,38414.00,-1.00,0.29,2,7,1,empate
coord50-5-1.dat,50,5,157632.00,105746.00,-32.92,0.17,2,12,1,98725.00,-37.37,9.27,4,12,1,MAPM
coord50-5-1b.dat,50,5,142359.00,69563.00,-51.14,0.26,2,6,1,69532.00,-51.16,7.37,3,6,1,MAPM
coord50-5-2.dat,50,5,152376.00,93492.00,-38.64,0.16,3,12,1,96052.00,-36.96,6.49,4,12,1,ALNS
coord50-5-2BIS.dat,50,5,177649.00,84133.00,-52.64,0.16,3,12,1,84016.00,-52.71,4.83,3,12,1,MAPM
coord50-5-2b.dat,50,5,119925.00,67291.00,-43.89,0.21,3,6,1,68078.00,-43.23,5.85,3,6,1,ALNS
coord50-5-2bBIS.dat,50,5,102824.00,56015.00,-45.52,0.23,3,6,1,51972.00,-49.46,4.67,3,6,1,MAPM
coord50-5-3.dat,50,5,162640.00,90709.00,-44.23,0.17,2,12,1,98747.00,-39.28,8.16,4,12,1,ALNS
coord50-5-3b.dat,50,5,114931.00,67083.00,-41.63,0.27,2,6,1,69951.00,-39.14,8.25,3,6,1,ALNS
