instancia,n,m,costo_inicial,cd,cr,costo_final,bks,gap_bks_pct,cpu_seg,nb_dep,nb_veh,factible
coord100-10-1.dat,100,10,677764.00,476220.00,100414.00,576634.00,281896.00,104.56,89.03,9,27,1
coord100-10-1b.dat,100,10,638941.00,420317.00,62035.00,482352.00,224751.00,114.62,105.61,8,13,1
coord100-10-2.dat,100,10,662042.00,357381.00,85979.00,443360.00,282437.00,56.98,45.53,7,24,1
coord100-10-2b.dat,100,10,4006454.00,357381.00,52756.00,410137.00,179047.00,129.07,41.34,7,11,1
coord100-10-3.dat,100,10,631221.00,353388.00,87356.00,440744.00,272463.00,61.76,165.27,7,25,1
coord100-10-3b.dat,100,10,581160.00,353388.00,54454.00,407842.00,208890.00,95.24,54.58,7,11,1
coord100-5-1.dat,100,5,459455.00,189989.00,135563.00,325552.00,364324.00,-10.64,35.87,4,24,1
coord100-5-1b.dat,100,5,370610.00,189989.00,78126.00,268115.00,239235.00,12.07,29.98,4,12,1
coord100-5-2.dat,100,5,389175.00,204898.00,85303.00,290201.00,287093.00,1.08,38.14,4,24,1
coord100-5-2b.dat,100,5,348143.00,204898.00,51691.00,256589.00,174963.00,46.65,31.89,4,11,1
coord100-5-3.dat,100,5,372350.00,235497.00,88948.00,324445.00,238031.00,36.30,84.45,5,25,1
coord100-5-3b.dat,100,5,326541.00,235497.00,56039.00,291536.00,181334.00,60.77,53.39,5,13,1
coord20-5-1.dat,20,5,3376836.00,25549.00,30318.00,55867.00,54793.00,1.96,0.44,3,5,1
coord20-5-1b.dat,20,5,82756.00,19785.00,30152.00,49937.00,75727.00,-34.06,0.65,2,3,1
coord20-5-2.dat,20,5,1275518.00,14620.00,28555.00,43175.00,80538.00,-46.39,0.11,2,5,1
coord20-5-2b.dat,20,5,74666.00,30776.00,21299.00,52075.00,62987.00,-17.32,1.49,3,3,1
coord200-10-1.dat,200,10,1252250.00,984087.00,157877.00,1141964.00,464596.00,145.80,597.81,10,48,1
coord200-10-1b.dat,200,10,1171817.00,781896.00,186299.00,968195.00,401901.00,140.90,871.16,8,24,1
coord200-10-2.dat,200,10,1376557.00,749141.00,145047.00,894188.00,410514.00,117.82,1042.30,7,48,1
coord200-10-2b.dat,200,10,8489257.00,749141.00,84112.00,833253.00,324121.00,157.08,773.30,7,23,1
coord200-10-3.dat,200,10,1298441.00,785662.00,187707.00,973369.00,574398.00,69.46,523.01,8,46,1
coord200-10-3b.dat,200,10,2885857.00,781308.00,104798.00,886106.00,356618.00,148.47,546.55,8,22,1
coord50-5-1.dat,50,5,151273.00,35186.00,63539.00,98725.00,157632.00,-37.37,3.72,4,12,1
coord50-5-1b.dat,50,5,1217175.00,35186.00,44281.00,79467.00,142359.00,-44.18,3.62,4,7,1
coord50-5-2.dat,50,5,121346.00,44022.00,52632.00,96654.00,152376.00,-36.57,5.57,4,12,1
coord50-5-2BIS.dat,50,5,4905855.00,19785.00,63942.00,83727.00,177649.00,-52.87,2.33,3,12,1
coord50-5-2b.dat,50,5,109669.00,44022.00,34757.00,78779.00,119925.00,-34.31,7.13,4,6,1
coord50-5-2bBIS.dat,50,5,18368956.00,11701.00,29053.00,40754.00,102824.00,-60.37,8.91,2,6,1
coord50-5-3.dat,50,5,128754.00,43082.00,56260.00,99342.00,162640.00,-38.92,7.80,4,13,1
coord50-5-3b.dat,50,5,94983.00,43082.00,38768.00,81850.00,114931.00,-28.78,9.59,4,7,1
