instancia,n,m,costo_inicial,cd,cr,costo_final,bks,gap_bks_pct,cpu_seg,nb_dep,nb_veh,factible,val_ok,val_r1,val_r3,val_r4,val_r5,val_r6
coord10-2-1.dat,10,2,13935.00,1000.00,10576.00,11576.00,-1.00,-1.00,0.02,2,4,1,1,1,1,1,1,1
coord10-2-2.dat,10,2,18839.00,1200.00,14712.00,15912.00,-1.00,-1.00,0.02,2,3,1,1,1,1,1,1,1
coord100-10-1.dat,100,10,677764.00,213197.00,120299.00,333496.00,281896.00,18.30,1.21,4,25,1,1,1,1,1,1,1
coord100-10-1b.dat,100,10,638941.00,212146.00,74835.00,286981.00,224751.00,27.69,2.57,4,12,1,1,1,1,1,1,1
coord100-10-2.dat,100,10,662042.00,154400.00,96531.00,250931.00,282437.00,-11.16,1.71,3,24,1,1,1,1,1,1,1
coord100-10-2b.dat,100,10,4006454.00,163853.00,64169.00,228022.00,179047.00,27.35,1.93,3,11,1,1,1,1,1,1,1
coord100-10-3.dat,100,10,631221.00,150215.00,152110.00,302325.00,272463.00,10.96,1.03,3,25,1,1,1,1,1,1,1
coord100-10-3b.dat,100,10,581160.00,144699.00,66816.00,211515.00,208890.00,1.26,1.94,3,11,1,1,1,1,1,1,1
coord100-5-1.dat,100,5,459455.00,137179.00,150224.00,287403.00,364324.00,-21.11,1.12,3,24,1,1,1,1,1,1,1
coord100-5-1b.dat,100,5,370610.00,144291.00,91191.00,235482.00,239235.00,-1.57,1.86,3,11,1,1,1,1,1,1,1
coord100-5-2.dat,100,5,389175.00,102246.00,93669.00,195915.00,287093.00,-31.76,1.18,2,24,1,1,1,1,1,1,1
coord100-5-2b.dat,100,5,348143.00,102541.00,60901.00,163442.00,174963.00,-6.58,2.10,2,11,1,1,1,1,1,1,1
coord100-5-3.dat,100,5,372350.00,147210.00,137503.00,284713.00,238031.00,19.61,1.33,3,24,1,1,1,1,1,1,1
coord100-5-3b.dat,100,5,326541.00,94351.00,69669.00,164020.00,181334.00,-9.55,2.25,2,12,1,1,1,1,1,1,1
coord12-2-1.dat,12,2,17649.00,1000.00,14123.00,15123.00,-1.00,-1.00,0.03,2,4,1,1,1,1,1,1,1
coord12-3-1.dat,12,3,20326.00,950.00,19376.00,20326.00,-1.00,-1.00,0.02,3,6,1,1,1,1,1,1,1
coord14-2-1.dat,14,2,22522.00,800.00,16717.00,17517.00,-1.00,-1.00,0.02,2,6,1,1,1,1,1,1,1
coord14-3-1.dat,14,3,24698.00,1100.00,20369.00,21469.00,-1.00,-1.00,0.02,3,6,1,1,1,1,1,1,1
coord15-3-1.dat,15,3,27490.00,1100.00,25047.00,26147.00,-1.00,-1.00,0.03,3,6,1,1,1,1,1,1,1
coord16-2-1.dat,16,2,43150.00,900.00,29424.00,30324.00,-1.00,-1.00,0.04,2,6,1,1,1,1,1,1,1
coord18-2-1.dat,18,2,40200.00,1000.00,30907.00,31907.00,-1.00,-1.00,0.03,2,6,1,1,1,1,1,1,1
coord20-2-1.dat,20,2,49597.00,1100.00,33935.00,35035.00,-1.00,-1.00,0.05,2,6,1,1,1,1,1,1,1
coord20-5-1.dat,20,5,3376836.00,25908.00,38852.00,64760.00,54793.00,18.19,0.06,3,5,1,1,1,1,1,1,1
coord20-5-1b.dat,20,5,82756.00,19026.00,26374.00,45400.00,75727.00,-40.05,0.07,2,3,1,1,1,1,1,1,1
coord20-5-2.dat,20,5,1275518.00,30203.00,30539.00,60742.00,80538.00,-24.58,0.06,3,5,1,1,1,1,1,1,1
coord20-5-2b.dat,20,5,74666.00,17105.00,24580.00,41685.00,62987.00,-33.82,0.08,2,3,1,1,1,1,1,1,1
coord200-10-1.dat,200,10,1252250.00,333539.00,249493.00,583032.00,464596.00,25.49,10.88,3,47,1,1,1,1,1,1,1
coord200-10-1b.dat,200,10,1171817.00,350742.00,130802.00,481544.00,401901.00,19.82,19.83,3,22,1,1,1,1,1,1,1
coord200-10-2.dat,200,10,1376557.00,344906.00,241524.00,586430.00,410514.00,42.85,10.84,3,47,1,1,1,1,1,1,1
coord200-10-2b.dat,200,10,8489257.00,303934.00,124052.00,427986.00,324121.00,32.05,18.11,3,22,1,1,1,1,1,1,1
coord200-10-3.dat,200,10,1298441.00,274936.00,272136.00,547072.00,574398.00,-4.76,9.89,3,47,1,1,1,1,1,1,1
coord200-10-3b.dat,200,10,2885857.00,292277.00,131748.00,424025.00,356618.00,18.90,17.47,3,22,1,1,1,1,1,1,1
coord21-2-1.dat,21,2,51266.00,1100.00,37314.00,38414.00,-1.00,-1.00,0.04,2,7,1,1,1,1,1,1,1
coord50-5-1.dat,50,5,151273.00,23391.00,82355.00,105746.00,157632.00,-32.92,0.23,2,12,1,1,1,1,1,1,1
coord50-5-1b.dat,50,5,1217175.00,19801.00,49762.00,69563.00,142359.00,-51.14,0.37,2,6,1,1,1,1,1,1,1
coord50-5-2.dat,50,5,121346.00,35084.00,58408.00,93492.00,152376.00,-38.64,0.23,3,12,1,1,1,1,1,1,1
coord50-5-2BIS.dat,50,5,4905855.00,19785.00,64348.00,84133.00,177649.00,-52.64,0.24,3,12,1,1,1,1,1,1,1
coord50-5-2b.dat,50,5,109669.00,29319.00,37972.00,67291.00,119925.00,-43.89,0.29,3,6,1,1,1,1,1,1,1
coord50-5-2bBIS.dat,50,5,18368956.00,19020.00,36995.00,56015.00,102824.00,-45.52,0.30,3,6,1,1,1,1,1,1,1
coord50-5-3.dat,50,5,128754.00,18590.00,72119.00,90709.00,162640.00,-44.23,0.25,2,12,1,1,1,1,1,1,1
coord50-5-3b.dat,50,5,94983.00,16242.00,50841.00,67083.00,114931.00,-41.63,0.38,2,6,1,1,1,1,1,1,1
