instancia,n,m,bks,alns_costo,alns_gap_pct,alns_cpu_seg,alns_nb_dep,alns_nb_veh,alns_val_ok,mapm_costo,mapm_gap_pct,mapm_cpu_seg,mapm_nb_dep,mapm_nb_veh,mapm_val_ok,mejor
coord10-2-1.dat,10,2,-1.00,11576.00,-1.00,0.01,2,4,1,11576.00,-1.00,0.17,2,4,1,empate
coord10-2-2.dat,10,2,-1.00,15912.00,-1.00,0.01,2,3,1,15912.00,-1.00,0.03,2,3,1,empate
coord100-10-1.dat,100,10,281896.00,333496.00,18.30,0.43,4,25,1,523185.00,85.60,64.93,8,25,1,ALNS
coord100-10-1b.dat,100,10,224751.00,286981.00,27.69,0.74,4,12,1,433500.00,92.88,83.27,7,12,1,ALNS
coord100-10-2.dat,100,10,282437.00,250931.00,-11.16,0.43,3,24,1,345507.00,22.33,44.52,5,24,1,ALNS
coord100-10-2b.dat,100,10,179047.00,228022.00,27.35,0.73,3,11,1,310834.00,73.60,74.25,5,12,1,ALNS
coord100-10-3.dat,100,10,272463.00,302325.00,10.96,0.40,3,25,1,432690.00,58.81,67.21,7,25,1,ALNS
coord100-10-3b.dat,100,10,208890.00,211515.00,1.26,0.67,3,11,1,350803.00,67.94,74.67,6,12,1,ALNS
coord100-5-1.dat,100,5,364324.00,287403.00,-21.11,0.41,3,24,1,323212.00,-11.28,42.57,4,24,1,ALNS
coord100-5-1b.dat,100,5,239235.00,235482.00,-1.57,1.35,3,11,1,224053.00,-6.35,73.30,3,12,1,MAPM
coord100-5-2.dat,100,5,287093.00,195915.00,-31.76,0.88,2,24,1,290391.00,1.15,70.96,4,24,1,ALNS
coord100-5-2b.dat,100,5,174963.00,163442.00,-6.58,1.33,2,11,1,212267.00,21.32,69.81,3,11,1,ALNS
coord100-5-3.dat,100,5,238031.00,284713.00,19.61,0.97,3,24,1,323029.00,35.71,91.45,5,24,1,ALNS
coord100-5-3b.dat,100,5,181334.00,164020.00,-9.55,1.48,2,12,1,241004.00,32.91,136.77,4,11,1,ALNS
coord12-2-1.dat,12,2,-1.00,15123.00,-1.00,0.01,2,4,1,15123.00,-1.00,0.25,2,4,1,empate
coord12-3-1.dat,12,3,-1.00,20326.00,-1.00,0.01,3,6,1,17497.00,-1.00,0.96,3,6,1,MAPM
coord14-2-1.dat,14,2,-1.00,17517.00,-1.00,0.01,2,6,1,17517.00,-1.00,0.17,2,6,1,empate
coord14-3-1.dat,14,3,-1.00,21469.00,-1.00,0.01,3,6,1,20288.00,-1.00,1.88,3,6,1,MAPM
coord15-3-1.dat,15,3,-1.00,26147.00,-1.00,0.02,3,6,1,21139.00,-1.00,1.74,3,6,1,MAPM
coord16-2-1.dat,16,2,-1.00,30324.00,-1.00,0.02,2,6,1,30324.00,-1.00,0.70,2,6,1,empate
coord18-2-1.dat,18,2,-1.00,31907.00,-1.00,0.02,2,6,1,31907.00,-1.00,0.54,2,6,1,empate
coord20-2-1.dat,20,2,-1.00,35035.00,-1.00,0.03,2,6,1,35035.00,-1.00,0.25,2,6,1,empate
coord20-5-1.dat,20,5,54793.00,64760.00,18.19,0.03,3,5,1,54769.00,-0.04,0.27,3,5,1,MAPM
coord20-5-1b.dat,20,5,75727.00,45400.00,-40.05,0.04,2,3,1,44718.00,-40.95,0.43,2,3,1,MAPM
coord20-5-2.dat,20,5,80538.00,60742.00,-24.58,0.03,3,5,1,48885.00,-39.30,0.43,3,5,1,MAPM
coord20-5-2b.dat,20,5,62987.00,41685.00,-33.82,0.04,2,3,1,42518.00,-32.50,0.51,2,3,1,ALNS
coord200-10-1.dat,200,10,464596.00,583032.00,25.49,6.03,3,47,1,1141006.00,145.59,1583.00,10,48,1,ALNS
coord200-10-1b.dat,200,10,401901.00,481544.00,19.82,10.84,3,22,1,660103.00,64.25,1783.05,6,23,1,ALNS
coord200-10-2.dat,200,10,410514.00,586430.00,42.85,5.70,3,47,1,894698.00,117.95,1946.63,7,48,1,ALNS
coord200-10-2b.dat,200,10,324121.00,427986.00,32.05,10.36,3,22,1,718897.00,121.80,1699.73,6,22,1,ALNS
coord200-10-3.dat,200,10,574398.00,547072.00,-4.76,6.20,3,47,1,973530.00,69.49,1059.44,8,46,1,ALNS
coord200-10-3b.dat,200,10,356618.00,424025.00,18.90,10.67,3,22,1,797826.00,123.72,1180.52,7,22,1,ALNS
coord21-2-1.dat,21,2,-1.00,38414.00,-1.00,0.03,2,7,1,38414.00,-1.00,0.29,2,7,1,empate
coord50-5-1.dat,50,5,157632.00,105746.00,-32.92,0.17,2,12,1,98725.00,-37.37,9.39,4,12,1,MAPM
coord50-5-1b.dat,50,5,142359.00,69563.00,-51.14,0.26,2,6,1,69532.00,-51.16,7.40,3,6,1,MAPM
coord50-5-2.dat,50,5,152376.00,93492.00,-38.64,0.16,3,12,1,96052.00,-36.96,6.52,4,12,1,ALNS
coord50-5-2BIS.dat,50,5,177649.00,84133.00,-52.64,0.16,3,12,1,84016.00,-52.71,4.86,3,12,1,MAPM
coord50-5-2b.dat,50,5,119925.00,67291.00,-43.89,0.21,3,6,1,68078.00,-43.23,5.88,3,6,1,ALNS
coord50-5-2bBIS.dat,50,5,102824.00,56015.00,-45.52,0.22,3,6,1,51972.00,-49.46,4.68,3,6,1,MAPM
coord50-5-3.dat,50,5,162640.00,90709.00,-44.23,0.17,2,12,1,98747.00,-39.28,8.23,4,12,1,ALNS
coord50-5-3b.dat,50,5,114931.00,67083.00,-41.63,0.27,2,6,1,69951.00,-39.14,8.27,3,6,1,ALNS
